label,session_id,filename,source_path,center_path,numeral_path,center_bounds,numeral_bounds,numeral_bbox,numeral_status,numeral_score,numeral_confidence
1,20260722_120126_500376,20260722_120126_500376_01.png,dataset\d6\1\20260722_120126_500376_01.png,dataset_variants\d6_center\1\20260722_120126_500376_01.png,dataset_variants\d6_numeral\1\20260722_120126_500376_01.png,"[20, 20, 107, 107]","[15, 30, 96, 111]","[45, 59, 16, 27]",detected,7.03455594336696,0.8899149330361514
1,20260722_120126_500376,20260722_120126_500376_03.png,dataset\d6\1\20260722_120126_500376_03.png,dataset_variants\d6_center\1\20260722_120126_500376_03.png,dataset_variants\d6_numeral\1\20260722_120126_500376_03.png,"[20, 20, 107, 107]","[17, 16, 122, 121]","[50, 46, 40, 60]",detected,8.424735658698532,0.9473725074761632
1,20260722_120255_432431,20260722_120255_432431_02.png,dataset\d6\1\20260722_120255_432431_02.png,dataset_variants\d6_center\1\20260722_120255_432431_02.png,dataset_variants\d6_numeral\1\20260722_120255_432431_02.png,"[20, 20, 107, 107]","[35, 21, 98, 84]","[58, 45, 21, 8]",detected,5.8673249861671275,0.8359582676525712
1,20260722_120255_432431,20260722_120255_432431_03.png,dataset\d6\1\20260722_120255_432431_03.png,dataset_variants\d6_center\1\20260722_120255_432431_03.png,dataset_variants\d6_numeral\1\20260722_120255_432431_03.png,"[20, 20, 107, 107]","[28, 33, 103, 108]","[53, 67, 25, 14]",detected,7.149470956431675,0.9226252627447638
1,20260722_120328_901306,20260722_120328_901306_02.png,dataset\d6\1\20260722_120328_901306_02.png,dataset_variants\d6_center\1\20260722_120328_901306_02.png,dataset_variants\d6_numeral\1\20260722_120328_901306_02.png,"[20, 20, 107, 107]","[-2, 22, 103, 127]","[25, 68, 41, 25]",detected,5.915691521072775,0.5254253133104549
1,20260722_120547_254818,20260722_120547_254818_04.png,dataset\d6\1\20260722_120547_254818_04.png,dataset_variants\d6_center\1\20260722_120547_254818_04.png,dataset_variants\d6_numeral\1\20260722_120547_254818_04.png,"[20, 20, 107, 107]","[17, 15, 122, 120]","[44, 46, 49, 49]",detected,7.905245329884305,0.9511721234219425
1,20260722_122855_256506,20260722_122855_256506_01.png,dataset\d6\1\20260722_122855_256506_01.png,dataset_variants\d6_center\1\20260722_122855_256506_01.png,dataset_variants\d6_numeral\1\20260722_122855_256506_01.png,"[20, 20, 107, 107]","[19, 26, 103, 110]","[55, 56, 13, 28]",detected,7.5358968641372135,0.9530913296139458
1,20260722_122855_256506,20260722_122855_256506_04.png,dataset\d6\1\20260722_122855_256506_04.png,dataset_variants\d6_center\1\20260722_122855_256506_04.png,dataset_variants\d6_numeral\1\20260722_122855_256506_04.png,"[20, 20, 107, 107]","[15, 27, 76, 88]","[39, 54, 3, 5]",detected,3.627212684408978,0.6009758831635823
1,20260722_122855_256506,20260722_122855_256506_05.png,dataset\d6\1\20260722_122855_256506_05.png,dataset_variants\d6_center\1\20260722_122855_256506_05.png,dataset_variants\d6_numeral\1\20260722_122855_256506_05.png,"[20, 20, 107, 107]","[26, 24, 87, 85]","[47, 47, 15, 11]",detected,5.82123446175269,0.6595691963726614
1,20260722_122855_256506,20260722_122855_256506_08.png,dataset\d6\1\20260722_122855_256506_08.png,dataset_variants\d6_center\1\20260722_122855_256506_08.png,dataset_variants\d6_numeral\1\20260722_122855_256506_08.png,"[20, 20, 107, 107]","[33, 21, 94, 82]","[54, 43, 19, 8]",detected,5.508694312537551,0.74397189607064
1,20260722_122930_176994,20260722_122930_176994_01.png,dataset\d6\1\20260722_122930_176994_01.png,dataset_variants\d6_center\1\20260722_122930_176994_01.png,dataset_variants\d6_numeral\1\20260722_122930_176994_01.png,"[20, 20, 107, 107]","[8, 8, 113, 113]","[39, 39, 49, 44]",detected,8.242210032517846,0.972192331979151
1,20260722_122930_176994,20260722_122930_176994_06.png,dataset\d6\1\20260722_122930_176994_06.png,dataset_variants\d6_center\1\20260722_122930_176994_06.png,dataset_variants\d6_numeral\1\20260722_122930_176994_06.png,"[20, 20, 107, 107]","[43, 53, 104, 114]","[72, 86, 10, 9]",detected,3.736837945888434,0.5187783718832172
1,20260722_123046_711145,20260722_123046_711145_01.png,dataset\d6\1\20260722_123046_711145_01.png,dataset_variants\d6_center\1\20260722_123046_711145_01.png,dataset_variants\d6_numeral\1\20260722_123046_711145_01.png,"[20, 20, 107, 107]","[12, 25, 117, 130]","[47, 56, 36, 47]",detected,6.925299501959747,0.8469054153039322
1,20260722_123144_604392,20260722_123144_604392_08.png,dataset\d6\1\20260722_123144_604392_08.png,dataset_variants\d6_center\1\20260722_123144_604392_08.png,dataset_variants\d6_numeral\1\20260722_123144_604392_08.png,"[20, 20, 107, 107]","[19, 34, 94, 109]","[41, 66, 25, 17]",detected,6.64254944050283,0.7630513523928792
1,20260722_123224_789816,20260722_123224_789816_03.png,dataset\d6\1\20260722_123224_789816_03.png,dataset_variants\d6_center\1\20260722_123224_789816_03.png,dataset_variants\d6_numeral\1\20260722_123224_789816_03.png,"[20, 20, 107, 107]","[36, 33, 97, 94]","[66, 62, 4, 3]",detected,5.331106826744398,0.9437949907688237
1,20260722_123224_789816,20260722_123224_789816_06.png,dataset\d6\1\20260722_123224_789816_06.png,dataset_variants\d6_center\1\20260722_123224_789816_06.png,dataset_variants\d6_numeral\1\20260722_123224_789816_06.png,"[20, 20, 107, 107]","[17, 31, 101, 115]","[45, 71, 28, 12]",detected,7.047940190114793,0.8862865902456151
1,20260722_123318_868923,20260722_123318_868923_01.png,dataset\d6\1\20260722_123318_868923_01.png,dataset_variants\d6_center\1\20260722_123318_868923_01.png,dataset_variants\d6_numeral\1\20260722_123318_868923_01.png,"[20, 20, 107, 107]","[6, 18, 111, 123]","[29, 52, 54, 40]",detected,7.696500589511617,0.9295270284064449
1,20260722_123318_868923,20260722_123318_868923_02.png,dataset\d6\1\20260722_123318_868923_02.png,dataset_variants\d6_center\1\20260722_123318_868923_02.png,dataset_variants\d6_numeral\1\20260722_123318_868923_02.png,"[20, 20, 107, 107]","[24, 30, 99, 105]","[53, 58, 16, 25]",detected,7.468480297547723,0.9541888103593894
1,20260722_123318_868923,20260722_123318_868923_04.png,dataset\d6\1\20260722_123318_868923_04.png,dataset_variants\d6_center\1\20260722_123318_868923_04.png,dataset_variants\d6_numeral\1\20260722_123318_868923_04.png,"[20, 20, 107, 107]","[16, 27, 106, 117]","[45, 67, 30, 14]",detected,6.9822904175467,0.91826572919627
1,20260722_123318_868923,20260722_123318_868923_05.png,dataset\d6\1\20260722_123318_868923_05.png,dataset_variants\d6_center\1\20260722_123318_868923_05.png,dataset_variants\d6_numeral\1\20260722_123318_868923_05.png,"[20, 20, 107, 107]","[11, 11, 116, 116]",,fallback-no-numeral,0.0,0.0
1,20260722_123318_868923,20260722_123318_868923_10.png,dataset\d6\1\20260722_123318_868923_10.png,dataset_variants\d6_center\1\20260722_123318_868923_10.png,dataset_variants\d6_numeral\1\20260722_123318_868923_10.png,"[20, 20, 107, 107]","[35, 20, 96, 81]","[58, 43, 20, 8]",detected,5.957069065770695,0.8542403263212996
1,20260722_123358_660507,20260722_123358_660507_04.png,dataset\d6\1\20260722_123358_660507_04.png,dataset_variants\d6_center\1\20260722_123358_660507_04.png,dataset_variants\d6_numeral\1\20260722_123358_660507_04.png,"[20, 20, 107, 107]","[18, 28, 102, 112]","[53, 60, 14, 28]",detected,7.2151108411534,0.9209927831038247
1,20260722_123533_791362,20260722_123533_791362_01.png,dataset\d6\1\20260722_123533_791362_01.png,dataset_variants\d6_center\1\20260722_123533_791362_01.png,dataset_variants\d6_numeral\1\20260722_123533_791362_01.png,"[20, 20, 107, 107]","[18, 18, 123, 123]","[57, 56, 32, 35]",detected,6.9664984916220085,0.8302485654284686
1,20260722_123533_791362,20260722_123533_791362_04.png,dataset\d6\1\20260722_123533_791362_04.png,dataset_variants\d6_center\1\20260722_123533_791362_04.png,dataset_variants\d6_numeral\1\20260722_123533_791362_04.png,"[20, 20, 107, 107]","[11, 11, 116, 116]",,fallback-no-numeral,0.0,0.0
1,20260722_123908_611657,20260722_123908_611657_02.png,dataset\d6\1\20260722_123908_611657_02.png,dataset_variants\d6_center\1\20260722_123908_611657_02.png,dataset_variants\d6_numeral\1\20260722_123908_611657_02.png,"[20, 20, 107, 107]","[7, 24, 100, 117]","[36, 61, 31, 27]",detected,7.073008056454239,0.8653659340866142
